dataset	dataset_label	k	method	kmer_count	S_bits_per_kmer	M_bits_per_kmer	lb
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	joint-1	12675558	2.7083561922875505	0.3145934877186472	2.7285418900794243
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	joint-250	12675558	3.521330106335358	0.05217221995276263	2.7285418900794243
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	joint-30	12675558	2.8674993242901023	0.13364934309006357	2.7285418900794243
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	joint-400	12675558	3.5323334878038506	0.05134921870895151	2.7285418900794243
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	joint-7	12675558	2.744197139092417	0.18965886945568786	2.7285418900794243
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	joint-70	12675558	3.160456210290703	0.08441569199557132	2.7285418900794243
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	matchtigs	12675558	3.093964778513104	0.15259415009579855	2.7285418900794243
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	eulertigs	30369141	4.121513479752358	0.27429975711199733	2.867220308197815
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	greedy-maxone	30369141	2.853537938396084	0.18234088346456687	2.867220308197815
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	greedy-minone	30369141	2.853537938396084	0.2536385207602678	2.867220308197815
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	greedy-minrun	30369141	2.853537938396084	0.17601867632673573	2.867220308197815
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	joint-1	30369141	2.8538105177225788	0.17753389863743593	2.867220308197815
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	joint-250	30369141	3.4645278903344683	0.03951379461144456	2.867220308197815
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	joint-30	30369141	2.9155965260920618	0.09009777392123143	2.867220308197815
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	joint-400	30369141	3.6017297295303807	0.03473209861286495	2.867220308197815
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	joint-7	30369141	2.8673740228609033	0.1161621265481299	2.867220308197815
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	joint-70	30369141	3.027190199419865	0.06982667043496554	2.867220308197815
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	63	matchtigs	30369141	3.1729686394488406	0.08511403071953863	2.867220308197815
